iter	Passed	Remaining
0	189	94687
1	228	56923
2	283	46984
3	342	42507
4	389	38585
5	433	35658
6	489	34495
7	553	34030
8	601	32809
9	651	31945
10	699	31104
11	748	30454
12	795	29816
13	845	29352
14	898	29050
15	948	28703
16	1000	28421
17	1090	29191
18	1148	29062
19	1200	28822
20	1257	28693
21	1325	28789
22	1379	28611
23	1431	28393
24	1487	28255
25	1540	28081
26	1594	27935
27	1648	27792
28	1702	27654
29	1757	27528
30	1809	27380
31	1862	27235
32	1915	27110
33	1966	26958
34	2018	26813
35	2063	26601
36	2111	26417
37	2172	26415
38	2228	26345
39	2284	26272
40	2335	26144
41	2390	26072
42	2448	26017
43	2501	25921
44	2559	25881
45	2613	25796
46	2668	25722
47	2719	25611
48	2776	25559
49	2828	25456
50	2885	25407
51	2947	25392
52	2995	25263
53	3043	25135
54	3105	25127
55	3153	25005
56	3209	24944
57	3259	24841
58	3308	24729
59	3357	24619
60	3410	24541
61	3459	24440
62	3506	24324
63	3558	24239
64	3607	24140
65	3657	24048
66	3703	23937
67	3755	23855
68	3808	23787
69	3867	23754
70	3917	23668
71	3969	23596
72	4016	23495
73	4070	23431
74	4125	23375
75	4184	23344
76	4238	23281
77	4297	23252
78	4359	23230
79	4420	23206
80	4470	23126
81	4527	23080
82	4583	23030
83	4639	22976
84	4703	22963
85	4771	22968
86	4828	22922
87	4880	22849
88	4935	22793
89	4988	22727
90	5045	22676
91	5094	22592
92	5112	22375
93	5164	22307
94	5213	22226
95	5268	22172
96	5317	22091
97	5368	22020
98	5415	21936
99	5465	21861
100	5522	21818
101	5551	21660
102	5576	21493
103	5625	21418
104	5681	21373
105	5731	21305
106	5788	21261
107	5870	21308
108	5925	21254
109	5979	21200
110	6036	21156
111	6090	21100
112	6151	21066
113	6215	21046
114	6267	20983
115	6318	20916
116	6378	20879
117	6438	20842
118	6495	20795
119	6551	20747
120	6607	20696
121	6665	20651
122	6718	20593
123	6759	20496
124	6814	20443
125	6871	20396
126	6924	20337
127	6971	20261
128	7029	20215
129	7080	20151
130	7143	20122
131	7162	19969
132	7214	19908
133	7275	19870
134	7328	19814
135	7380	19753
136	7440	19714
137	7467	19589
138	7522	19535
139	7580	19493
140	7627	19420
141	7677	19356
142	7733	19307
143	7785	19247
144	7810	19122
145	7866	19072
146	7924	19029
147	7977	18974
148	8026	18909
149	8085	18865
150	8136	18805
151	8188	18747
152	8239	18686
153	8298	18644
154	8349	18584
155	8396	18514
156	8449	18459
157	8496	18391
158	8528	18290
159	8577	18226
160	8631	18174
161	8685	18121
162	8737	18064
163	8785	17999
164	8837	17941
165	8888	17883
166	8933	17814
167	8963	17714
168	9026	17678
169	9088	17642
170	9156	17617
171	9214	17572
172	9269	17520
173	9316	17455
174	9358	17380
175	9419	17341
176	9474	17289
177	9525	17231
178	9584	17187
179	9632	17124
180	9685	17069
181	9725	16993
182	9767	16919
183	9810	16849
184	9861	16790
185	9918	16743
186	9966	16682
187	10012	16616
188	10058	16551
189	10126	16521
190	10166	16447
191	10212	16382
192	10266	16330
193	10283	16220
194	10333	16162
195	10366	16078
196	10410	16012
197	10453	15944
198	10500	15882
199	10543	15815
200	10598	15765
201	10644	15703
202	10687	15636
203	10744	15589
204	10793	15532
205	10852	15488
206	10905	15435
207	10963	15391
208	11023	15348
209	11073	15292
210	11117	15227
211	11175	15181
212	11225	15124
213	11281	15076
214	11321	15007
215	11369	14948
216	11426	14901
217	11475	14844
218	11521	14783
219	11575	14731
220	11630	14683
221	11689	14638
222	11735	14576
223	11784	14520
224	11837	14467
225	11884	14409
226	11933	14351
227	11974	14285
228	12022	14227
229	12062	14160
230	12101	14092
231	12145	14030
232	12162	13937
233	12213	13883
234	12263	13829
235	12315	13776
236	12370	13727
237	12428	13681
238	12481	13630
239	12538	13583
240	12589	13529
241	12641	13477
242	12691	13423
243	12746	13372
244	12803	13326
245	12863	13282
246	12916	13230
247	12979	13188
248	13032	13137
249	13084	13084
250	13142	13037
251	13191	12982
252	13244	12930
253	13296	12877
254	13347	12824
255	13396	12768
256	13452	12719
257	13505	12668
258	13553	12611
259	13614	12567
260	13666	12514
261	13725	12468
262	13776	12414
263	13828	12362
264	13880	12309
265	13931	12255
266	13991	12210
267	14051	12163
268	14103	12111
269	14155	12058
270	14213	12010
271	14271	11962
272	14324	11911
